# Gene Family	demo_Abundance-CPM
UNMAPPED	676636.0
UNGROUPED	26540.020789999984
UNGROUPED|unclassified	26540.020789999984
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN: (expasy) 1-acylglycerol-3-phosphate O-acyltransferase [2.3.1.51]	201.7719
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN: (expasy) 1-acylglycerol-3-phosphate O-acyltransferase [2.3.1.51]|unclassified	201.7719
1.1.1.292-RXN: (expasy) 1,5-anhydro-D-fructose reductase (1,5-anhydro-D-mannitol-forming) [1.1.1.292]	145.934
1.1.1.292-RXN: (expasy) 1,5-anhydro-D-fructose reductase (1,5-anhydro-D-mannitol-forming) [1.1.1.292]|unclassified	145.934
1.17.4.2-RXN: (expasy) Ribonucleoside-triphosphate reductase (thioredoxin) [1.17.4.2]	670.565
1.17.4.2-RXN: (expasy) Ribonucleoside-triphosphate reductase (thioredoxin) [1.17.4.2]|unclassified	670.565
1.2.4.4-RXN: (expasy) 3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) [1.2.4.4]	463.877
1.2.4.4-RXN: (expasy) 3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) [1.2.4.4]|unclassified	463.877
1.2.7.7-RXN: (expasy) 3-methyl-2-oxobutanoate dehydrogenase (ferredoxin) [1.2.7.7]	115.113
1.2.7.7-RXN: (expasy) 3-methyl-2-oxobutanoate dehydrogenase (ferredoxin) [1.2.7.7]|unclassified	115.113
1.2.7.8-RXN: (expasy) Indolepyruvate ferredoxin oxidoreductase [1.2.7.8]	666.0448
1.2.7.8-RXN: (expasy) Indolepyruvate ferredoxin oxidoreductase [1.2.7.8]|unclassified	666.0448
1.4.1.21-RXN: (expasy) Aspartate dehydrogenase [1.4.1.21]	269.548
1.4.1.21-RXN: (expasy) Aspartate dehydrogenase [1.4.1.21]|unclassified	269.548
1.5.1.20-RXN: (expasy) Methylenetetrahydrofolate reductase (NAD(P)H) [1.5.1.20]	410.49890000000005
1.5.1.20-RXN: (expasy) Methylenetetrahydrofolate reductase (NAD(P)H) [1.5.1.20]|unclassified	410.49890000000005
1.5.1.34-RXN: (expasy) 6,7-dihydropteridine reductase [1.5.1.34]	328.943
1.5.1.34-RXN: (expasy) 6,7-dihydropteridine reductase [1.5.1.34]|unclassified	328.943
1.6.4.4-RXN: (expasy) Protein-disulfide reductase [1.8.1.8]	213.301
1.6.4.4-RXN: (expasy) Protein-disulfide reductase [1.8.1.8]|unclassified	213.301
1.7.2.2-RXN: (expasy) Nitrite reductase (cytochrome; ammonia-forming) [1.7.2.2]	317.347
1.7.2.2-RXN: (expasy) Nitrite reductase (cytochrome; ammonia-forming) [1.7.2.2]|unclassified	317.347
1.8.1.4-RXN: (expasy) Dihydrolipoyl dehydrogenase [1.8.1.4]	518.3096
1.8.1.4-RXN: (expasy) Dihydrolipoyl dehydrogenase [1.8.1.4]|unclassified	518.3096
1.8.4.12-RXN: (expasy) Peptide-methionine (R)-S-oxide reductase [1.8.4.12]	273.333
1.8.4.12-RXN: (expasy) Peptide-methionine (R)-S-oxide reductase [1.8.4.12]|unclassified	273.333
1TRANSKETO-RXN: (expasy) Transketolase [2.2.1.1]	266.962
1TRANSKETO-RXN: (expasy) Transketolase [2.2.1.1]|unclassified	266.962
2-AMINOADIPATE-AMINOTRANSFERASE-RXN: (expasy) 2-aminoadipate transaminase [2.6.1.39]	305.4526
