# Gene Family	demo_Abundance-RPKs
UNMAPPED	89549.0000000000
UniRef90_A0A173Z1J3	182.9818610042
UniRef90_A0A173Z1J3|unclassified	182.9818610042
UniRef90_A0A0P0G117	131.8659984334
UniRef90_A0A0P0G117|unclassified	131.8659984334
UniRef90_A0A174UHY7	129.2376673053
UniRef90_A0A174UHY7|unclassified	129.2376673053
UniRef90_B0NQA3	98.7276639575
UniRef90_B0NQA3|unclassified	98.7276639575
UniRef90_A0A173YYP1	97.1626578714
UniRef90_A0A173YYP1|unclassified	97.1626578714
UniRef90_A0A174UG67	95.1014927564
UniRef90_A0A174UG67|unclassified	95.1014927564
UniRef90_E6UKY4	92.3028403180
UniRef90_E6UKY4|unclassified	92.3028403180
UniRef90_R6J9A9	78.1834574946
UniRef90_R6J9A9|unclassified	78.1834574946
UniRef90_A0A076IPF6	75.5881660169
UniRef90_A0A076IPF6|unclassified	75.5881660169
UniRef90_F9ZCR2	72.9079243935
UniRef90_F9ZCR2|unclassified	72.9079243935
UniRef90_A0A397WMH6	70.1505603601
UniRef90_A0A397WMH6|unclassified	70.1505603601
UniRef90_R5B132	67.4793496166
UniRef90_R5B132|unclassified	67.4793496166
UniRef90_A5ZJR5	66.2663722234
UniRef90_A5ZJR5|unclassified	66.2663722234
UniRef90_J9CT31	65.4406707564
UniRef90_J9CT31|unclassified	65.4406707564
UniRef90_A0A174MDH0	63.3194697289
UniRef90_A0A174MDH0|unclassified	63.3194697289
UniRef90_C3R0P4	60.6764921857
UniRef90_C3R0P4|unclassified	60.6764921857
UniRef90_B6W1I3	60.1559460907
UniRef90_B6W1I3|unclassified	60.1559460907
UniRef90_E6STV7	59.9759910428
UniRef90_E6STV7|unclassified	59.9759910428
UniRef90_Q8A3C0	59.1275571497
UniRef90_Q8A3C0|unclassified	59.1275571497
UniRef90_A0A096D5B2	59.1204427848
UniRef90_A0A096D5B2|unclassified	59.1204427848
UniRef90_A0A3D0FMN5	58.6973571242
UniRef90_A0A3D0FMN5|unclassified	58.6973571242
UniRef90_Q8A2N8	58.2914962506
UniRef90_Q8A2N8|unclassified	58.2914962506
UniRef90_A0A081DUL1	57.9982481949
UniRef90_A0A081DUL1|unclassified	57.9982481949
UniRef90_A0A0P0FB01	57.3991604486
UniRef90_A0A0P0FB01|unclassified	57.3991604486
UniRef90_R6J6S5	57.0575740781
UniRef90_R6J6S5|unclassified	57.0575740781
UniRef90_Q8A129	56.9183368052
UniRef90_Q8A129|unclassified	56.9183368052
UniRef90_A0A0N7IAY5	56.7656849518
UniRef90_A0A0N7IAY5|unclassified	56.7656849518
UniRef90_R5BAK4	56.2284829499
UniRef90_R5BAK4|unclassified	56.2284829499
UniRef90_A0A173XIA3	55.8213080149
UniRef90_A0A173XIA3|unclassified	55.8213080149
UniRef90_A0A139KPT2	55.2719122440
UniRef90_A0A139KPT2|unclassified	55.2719122440
UniRef90_A0A174B049	53.1163215456
UniRef90_A0A174B049|unclassified	53.1163215456
UniRef90_A7LR09	52.8939886246
UniRef90_A7LR09|unclassified	52.8939886246
UniRef90_A6KYN9	52.3898347531
UniRef90_A6KYN9|unclassified	52.3898347531
UniRef90_A0A174GG28	52.3317403063
UniRef90_A0A174GG28|unclassified	52.3317403063
UniRef90_R5BBY0	52.0848160889
UniRef90_R5BBY0|unclassified	52.0848160889
UniRef90_A0A3E4FZP2	51.8842840709
UniRef90_A0A3E4FZP2|unclassified	51.8842840709
UniRef90_R5AX07	51.7429018919
UniRef90_R5AX07|unclassified	51.7429018919
UniRef90_E4MC47	51.5069807771
UniRef90_E4MC47|unclassified	51.5069807771
UniRef90_Q8A1E9	51.4234793202
UniRef90_Q8A1E9|unclassified	51.4234793202
UniRef90_W6P057	50.8556530868
UniRef90_W6P057|unclassified	50.8556530868
UniRef90_R5BAJ9	50.7058699857
UniRef90_R5BAJ9|unclassified	50.7058699857
UniRef90_A0A1Y4VD92	50.5933866413
UniRef90_A0A1Y4VD92|unclassified	50.5933866413
UniRef90_A0A174QXJ7	50.2975190435
UniRef90_A0A174QXJ7|unclassified	50.2975190435
UniRef90_G8JZS4	49.9123939271
UniRef90_G8JZS4|unclassified	49.9123939271
UniRef90_Q8A1A2	49.8416096168
UniRef90_Q8A1A2|unclassified	49.8416096168
UniRef90_A0A1Y4PKI3	49.7665233717
UniRef90_A0A1Y4PKI3|unclassified	49.7665233717
UniRef90_R5APL7	49.4816491812
UniRef90_R5APL7|unclassified	49.4816491812
UniRef90_A0A174A211	49.3060595244
UniRef90_A0A174A211|unclassified	49.3060595244
UniRef90_Q8A2F4	48.9946164538
UniRef90_Q8A2F4|unclassified	48.9946164538
UniRef90_Q8A094	48.8028387612
UniRef90_Q8A094|unclassified	48.8028387612
UniRef90_A0A0P0FKQ9	48.7672002253
UniRef90_A0A0P0FKQ9|unclassified	48.7672002253
UniRef90_C3QRU9	48.6254548819
UniRef90_C3QRU9|unclassified	48.6254548819
UniRef90_A0A139LLI3	48.5998523632
UniRef90_A0A139LLI3|unclassified	48.5998523632
UniRef90_R6JLA0	48.5176484688
UniRef90_R6JLA0|unclassified	48.5176484688
