# Pathway	demo_Abundance
UNMAPPED	32249.9541477893
UNINTEGRATED	9155.4568898493
UNINTEGRATED|unclassified	9155.4568898493
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	114.0899478609
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|unclassified	114.0899478609
VALSYN-PWY: L-valine biosynthesis	108.6448793936
VALSYN-PWY: L-valine biosynthesis|unclassified	108.6448793936
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	105.7854369886
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|unclassified	105.7854369886
PWY-5659: GDP-mannose biosynthesis	104.4856846990
PWY-5659: GDP-mannose biosynthesis|unclassified	104.4856846990
PWY-5103: L-isoleucine biosynthesis III	103.0420772816
PWY-5103: L-isoleucine biosynthesis III|unclassified	103.0420772816
PWY-6609: adenine and adenosine salvage III	97.7822908240
PWY-6609: adenine and adenosine salvage III|unclassified	97.7822908240
PWY-1042: glycolysis IV	91.0974681242
PWY-1042: glycolysis IV|unclassified	91.0974681242
PWY-5695: inosine 5'-phosphate degradation	87.8926832344
PWY-5695: inosine 5'-phosphate degradation|unclassified	87.8926832344
PWY-5686: UMP biosynthesis I	87.4939860479
PWY-5686: UMP biosynthesis I|unclassified	87.4939860479
PWY-7790: UMP biosynthesis II	87.4939860479
PWY-7790: UMP biosynthesis II|unclassified	87.4939860479
PWY-7791: UMP biosynthesis III	87.4939860479
PWY-7791: UMP biosynthesis III|unclassified	87.4939860479
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis	86.2277079611
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis|unclassified	86.2277079611
PWY-6124: inosine-5'-phosphate biosynthesis II	83.5184452056
PWY-6124: inosine-5'-phosphate biosynthesis II|unclassified	83.5184452056
PWY-6700: queuosine biosynthesis I (de novo)	82.3132947080
PWY-6700: queuosine biosynthesis I (de novo)|unclassified	82.3132947080
PWY-5130: 2-oxobutanoate degradation I	81.4320346500
PWY-5130: 2-oxobutanoate degradation I|unclassified	81.4320346500
PWY-6703: preQ0 biosynthesis	80.8336697629
PWY-6703: preQ0 biosynthesis|unclassified	80.8336697629
TRNA-CHARGING-PWY: tRNA charging	77.4112274981
TRNA-CHARGING-PWY: tRNA charging|unclassified	77.4112274981
PWY-6123: inosine-5'-phosphate biosynthesis I	77.3437565521
PWY-6123: inosine-5'-phosphate biosynthesis I|unclassified	77.3437565521
PWY-7977: L-methionine biosynthesis IV	77.1193458431
PWY-7977: L-methionine biosynthesis IV|unclassified	77.1193458431
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	76.8806865952
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|unclassified	76.8806865952
PWY-3841: folate transformations II (plants)	76.3369255036
PWY-3841: folate transformations II (plants)|unclassified	76.3369255036
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)	75.2453834305
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)|unclassified	75.2453834305
PWY-5484: glycolysis II (from fructose 6-phosphate)	72.1464260117
PWY-5484: glycolysis II (from fructose 6-phosphate)|unclassified	72.1464260117
PWY-5097: L-lysine biosynthesis VI	71.8704625384
PWY-5097: L-lysine biosynthesis VI|unclassified	71.8704625384
PWY-7221: guanosine ribonucleotides de novo biosynthesis	70.0576265408
PWY-7221: guanosine ribonucleotides de novo biosynthesis|unclassified	70.0576265408
COA-PWY: coenzyme A biosynthesis I (prokaryotic)	68.7517142692
COA-PWY: coenzyme A biosynthesis I (prokaryotic)|unclassified	68.7517142692
PWY-7851: coenzyme A biosynthesis II (eukaryotic)	68.7517142692
PWY-7851: coenzyme A biosynthesis II (eukaryotic)|unclassified	68.7517142692
GLUCONEO-PWY: gluconeogenesis I	66.6335457215
GLUCONEO-PWY: gluconeogenesis I|unclassified	66.6335457215
PWY66-429: fatty acid biosynthesis initiation (mitochondria)	65.9297550103
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|unclassified	65.9297550103
PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I	65.1026500043
PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I|unclassified	65.1026500043
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)	64.1048011967
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|unclassified	64.1048011967
PWY-6385: peptidoglycan biosynthesis III (mycobacteria)	61.7994312515
PWY-6385: peptidoglycan biosynthesis III (mycobacteria)|unclassified	61.7994312515
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I	61.3250303910
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I|unclassified	61.3250303910
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)	60.3724733267
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|unclassified	60.3724733267
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II	60.0717293578
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II|unclassified	60.0717293578
HSERMETANA-PWY: L-methionine biosynthesis III	59.9754868089
HSERMETANA-PWY: L-methionine biosynthesis III|unclassified	59.9754868089
PWY-621: sucrose degradation III (sucrose invertase)	59.8518313825
PWY-621: sucrose degradation III (sucrose invertase)|unclassified	59.8518313825
PANTOSYN-PWY: superpathway of coenzyme A biosynthesis I (bacteria)	59.6563008351
PANTOSYN-PWY: superpathway of coenzyme A biosynthesis I (bacteria)|unclassified	59.6563008351
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I	58.8450292376
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|unclassified	58.8450292376
PWY-6317: D-galactose degradation I (Leloir pathway)	58.3577702218
PWY-6317: D-galactose degradation I (Leloir pathway)|unclassified	58.3577702218
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	58.3003058412
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|unclassified	58.3003058412
PYRIDNUCSYN-PWY: NAD de novo biosynthesis I (from aspartate)	58.2689082970
PYRIDNUCSYN-PWY: NAD de novo biosynthesis I (from aspartate)|unclassified	58.2689082970
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II	57.9640193258
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|unclassified	57.9640193258
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis	57.9640193258
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|unclassified	57.9640193258
PWY-5973: cis-vaccenate biosynthesis	57.5166978424
PWY-5973: cis-vaccenate biosynthesis|unclassified	57.5166978424
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis	56.9966085898
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis|unclassified	56.9966085898
CALVIN-PWY: Calvin-Benson-Bassham cycle	56.5509428152
CALVIN-PWY: Calvin-Benson-Bassham cycle|unclassified	56.5509428152
PWY-7663: gondoate biosynthesis (anaerobic)	56.5273035286
PWY-7663: gondoate biosynthesis (anaerobic)|unclassified	56.5273035286
THISYN-PWY: superpathway of thiamine diphosphate biosynthesis I	56.3346453033
THISYN-PWY: superpathway of thiamine diphosphate biosynthesis I|unclassified	56.3346453033
PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	55.9994112817
PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I|unclassified	55.9994112817
1CMET2-PWY: folate transformations III (E. coli)	55.8253214325
1CMET2-PWY: folate transformations III (E. coli)|unclassified	55.8253214325
PWY-841: superpathway of purine nucleotides de novo biosynthesis I	55.3939192486
PWY-841: superpathway of purine nucleotides de novo biosynthesis I|unclassified	55.3939192486
PWY-5989: stearate biosynthesis II (bacteria and plants)	55.3695513610
PWY-5989: stearate biosynthesis II (bacteria and plants)|unclassified	55.3695513610
PWY-6163: chorismate biosynthesis from 3-dehydroquinate	54.7773805450
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|unclassified	54.7773805450
FASYN-ELONG-PWY: fatty acid elongation -- saturated	54.3927502555
FASYN-ELONG-PWY: fatty acid elongation -- saturated|unclassified	54.3927502555
PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I	53.6607207768
PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I|unclassified	53.6607207768
PWY-7664: oleate biosynthesis IV (anaerobic)	53.3405278675
PWY-7664: oleate biosynthesis IV (anaerobic)|unclassified	53.3405278675
THRESYN-PWY: superpathway of L-threonine biosynthesis	53.3157389550
THRESYN-PWY: superpathway of L-threonine biosynthesis|unclassified	53.3157389550
PWY-7208: superpathway of pyrimidine nucleobases salvage	52.6584829589
PWY-7208: superpathway of pyrimidine nucleobases salvage|unclassified	52.6584829589
PWY0-862: (5Z)-dodecenoate biosynthesis I	51.9992994433
PWY0-862: (5Z)-dodecenoate biosynthesis I|unclassified	51.9992994433
PWY-6519: 8-amino-7-oxononanoate biosynthesis I	51.7251498171
PWY-6519: 8-amino-7-oxononanoate biosynthesis I|unclassified	51.7251498171
PWY-7185: UTP and CTP dephosphorylation I	51.6618109013
PWY-7185: UTP and CTP dephosphorylation I|unclassified	51.6618109013
PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II	51.2524738581
PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II|unclassified	51.2524738581
PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	51.1203724582
PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)|unclassified	51.1203724582
PWY-7456: &beta;-(1,4)-mannan degradation	50.8357076714
PWY-7456: &beta;-(1,4)-mannan degradation|unclassified	50.8357076714
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	49.2893309637
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I|unclassified	49.2893309637
PANTO-PWY: phosphopantothenate biosynthesis I	48.7477874042
PANTO-PWY: phosphopantothenate biosynthesis I|unclassified	48.7477874042
HISTSYN-PWY: L-histidine biosynthesis	47.8775501878
HISTSYN-PWY: L-histidine biosynthesis|unclassified	47.8775501878
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	47.0731938843
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|unclassified	47.0731938843
PWY-5941: glycogen degradation II	44.8246689224
PWY-5941: glycogen degradation II|unclassified	44.8246689224
PWY-7953: UDP-N-acetylmuramoyl-pentapeptide biosynthesis III (meso-diaminopimelate containing)	43.5391954046
PWY-7953: UDP-N-acetylmuramoyl-pentapeptide biosynthesis III (meso-diaminopimelate containing)|unclassified	43.5391954046
PWY-6897: thiamine diphosphate salvage II	43.1530212593
PWY-6897: thiamine diphosphate salvage II|unclassified	43.1530212593
PWY-6608: guanosine nucleotides degradation III	43.0089777675
PWY-6608: guanosine nucleotides degradation III|unclassified	43.0089777675
PWY-5030: L-histidine degradation III	42.7913776359
PWY-5030: L-histidine degradation III|unclassified	42.7913776359
PWY-5667: CDP-diacylglycerol biosynthesis I	42.7130402589
PWY-5667: CDP-diacylglycerol biosynthesis I|unclassified	42.7130402589
PWY0-1319: CDP-diacylglycerol biosynthesis II	42.7130402589
PWY0-1319: CDP-diacylglycerol biosynthesis II|unclassified	42.7130402589
PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)	42.1501195950
PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)|unclassified	42.1501195950
RHAMCAT-PWY: L-rhamnose degradation I	41.9907452700
RHAMCAT-PWY: L-rhamnose degradation I|unclassified	41.9907452700
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	41.9306997628
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|unclassified	41.9306997628
PWY-6901: superpathway of glucose and xylose degradation	41.4867179825
PWY-6901: superpathway of glucose and xylose degradation|unclassified	41.4867179825
PWY-6892: thiazole component of thiamine diphosphate biosynthesis I	41.4763186135
PWY-6892: thiazole component of thiamine diphosphate biosynthesis I|unclassified	41.4763186135
TRPSYN-PWY: L-tryptophan biosynthesis	41.3953791745
TRPSYN-PWY: L-tryptophan biosynthesis|unclassified	41.3953791745
PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II	41.2679114207
PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II|unclassified	41.2679114207
PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II	41.2679114207
PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II|unclassified	41.2679114207
PWY-8178: pentose phosphate pathway (non-oxidative branch) II	39.2278759868
PWY-8178: pentose phosphate pathway (non-oxidative branch) II|unclassified	39.2278759868
COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)	38.5335297851
COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)|unclassified	38.5335297851
NONMEVIPP-PWY: methylerythritol phosphate pathway I	38.4301550540
NONMEVIPP-PWY: methylerythritol phosphate pathway I|unclassified	38.4301550540
HISDEG-PWY: L-histidine degradation I	38.3339527866
HISDEG-PWY: L-histidine degradation I|unclassified	38.3339527866
ARO-PWY: chorismate biosynthesis I	37.7523841052
ARO-PWY: chorismate biosynthesis I|unclassified	37.7523841052
RIBOSYN2-PWY: flavin biosynthesis I (bacteria and plants)	36.8519175744
RIBOSYN2-PWY: flavin biosynthesis I (bacteria and plants)|unclassified	36.8519175744
PWY-5384: sucrose degradation IV (sucrose phosphorylase)	36.1047678809
PWY-5384: sucrose degradation IV (sucrose phosphorylase)|unclassified	36.1047678809
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I	35.9303974586
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|unclassified	35.9303974586
