# Pathway	demo_Coverage
UNMAPPED	1.0000000000
UNINTEGRATED	1.0000000000
UNINTEGRATED|unclassified	1.0000000000
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	0.9992235106
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|unclassified	0.9992235106
VALSYN-PWY: L-valine biosynthesis	0.9997463445
VALSYN-PWY: L-valine biosynthesis|unclassified	0.9997463445
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	0.9990000057
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|unclassified	0.9990000057
PWY-5659: GDP-mannose biosynthesis	0.9954522350
PWY-5659: GDP-mannose biosynthesis|unclassified	0.9954522350
PWY-5103: L-isoleucine biosynthesis III	0.9985193700
PWY-5103: L-isoleucine biosynthesis III|unclassified	0.9985193700
PWY-6609: adenine and adenosine salvage III	0.9856994147
PWY-6609: adenine and adenosine salvage III|unclassified	0.9856994147
PWY-1042: glycolysis IV	0.9473989758
PWY-1042: glycolysis IV|unclassified	0.9473989758
PWY-5695: inosine 5'-phosphate degradation	0.9698416043
PWY-5695: inosine 5'-phosphate degradation|unclassified	0.9698416043
PWY-5686: UMP biosynthesis I	0.9242674382
PWY-5686: UMP biosynthesis I|unclassified	0.9242674382
PWY-7790: UMP biosynthesis II	0.9242674382
PWY-7790: UMP biosynthesis II|unclassified	0.9242674382
PWY-7791: UMP biosynthesis III	0.9242674382
PWY-7791: UMP biosynthesis III|unclassified	0.9242674382
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis	0.5396593868
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis|unclassified	0.5396593868
PWY-6124: inosine-5'-phosphate biosynthesis II	0.9419784825
PWY-6124: inosine-5'-phosphate biosynthesis II|unclassified	0.9419784825
PWY-6700: queuosine biosynthesis I (de novo)	0.5438381713
PWY-6700: queuosine biosynthesis I (de novo)|unclassified	0.5438381713
PWY-5130: 2-oxobutanoate degradation I	0.6440393400
PWY-5130: 2-oxobutanoate degradation I|unclassified	0.6440393400
PWY-6703: preQ0 biosynthesis	0.9526503179
PWY-6703: preQ0 biosynthesis|unclassified	0.9526503179
TRNA-CHARGING-PWY: tRNA charging	0.4367859540
TRNA-CHARGING-PWY: tRNA charging|unclassified	0.4367859540
PWY-6123: inosine-5'-phosphate biosynthesis I	0.8323019722
PWY-6123: inosine-5'-phosphate biosynthesis I|unclassified	0.8323019722
PWY-7977: L-methionine biosynthesis IV	0.6416485713
PWY-7977: L-methionine biosynthesis IV|unclassified	0.6416485713
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	0.7100319110
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|unclassified	0.7100319110
PWY-3841: folate transformations II (plants)	0.9151410685
PWY-3841: folate transformations II (plants)|unclassified	0.9151410685
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)	0.7033855667
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)|unclassified	0.7033855667
PWY-5484: glycolysis II (from fructose 6-phosphate)	0.6646269813
PWY-5484: glycolysis II (from fructose 6-phosphate)|unclassified	0.6646269813
PWY-5097: L-lysine biosynthesis VI	0.5304632875
PWY-5097: L-lysine biosynthesis VI|unclassified	0.5304632875
PWY-7221: guanosine ribonucleotides de novo biosynthesis	0.6371350356
PWY-7221: guanosine ribonucleotides de novo biosynthesis|unclassified	0.6371350356
COA-PWY: coenzyme A biosynthesis I (prokaryotic)	0.6346832714
COA-PWY: coenzyme A biosynthesis I (prokaryotic)|unclassified	0.6346832714
PWY-7851: coenzyme A biosynthesis II (eukaryotic)	0.6346832714
PWY-7851: coenzyme A biosynthesis II (eukaryotic)|unclassified	0.6346832714
GLUCONEO-PWY: gluconeogenesis I	0.0002095576
GLUCONEO-PWY: gluconeogenesis I|unclassified	0.0002095576
PWY66-429: fatty acid biosynthesis initiation (mitochondria)	0.6603022407
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|unclassified	0.6603022407
PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I	0.0966930948
PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I|unclassified	0.0966930948
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)	0.1838368027
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|unclassified	0.1838368027
PWY-6385: peptidoglycan biosynthesis III (mycobacteria)	0.2029315566
PWY-6385: peptidoglycan biosynthesis III (mycobacteria)|unclassified	0.2029315566
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I	0.5328664806
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I|unclassified	0.5328664806
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)	0.2025349054
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|unclassified	0.2025349054
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II	0.0749128248
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II|unclassified	0.0749128248
HSERMETANA-PWY: L-methionine biosynthesis III	0.5346333290
HSERMETANA-PWY: L-methionine biosynthesis III|unclassified	0.5346333290
PWY-621: sucrose degradation III (sucrose invertase)	0.3857450932
PWY-621: sucrose degradation III (sucrose invertase)|unclassified	0.3857450932
PANTOSYN-PWY: superpathway of coenzyme A biosynthesis I (bacteria)	0.1416109821
PANTOSYN-PWY: superpathway of coenzyme A biosynthesis I (bacteria)|unclassified	0.1416109821
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I	0.1913470029
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|unclassified	0.1913470029
PWY-6317: D-galactose degradation I (Leloir pathway)	0.0003190320
PWY-6317: D-galactose degradation I (Leloir pathway)|unclassified	0.0003190320
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	0.1704382223
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|unclassified	0.1704382223
PYRIDNUCSYN-PWY: NAD de novo biosynthesis I (from aspartate)	0.1014953971
PYRIDNUCSYN-PWY: NAD de novo biosynthesis I (from aspartate)|unclassified	0.1014953971
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II	0.1629499112
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|unclassified	0.1629499112
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis	0.1629499112
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|unclassified	0.1629499112
PWY-5973: cis-vaccenate biosynthesis	0.0337807617
PWY-5973: cis-vaccenate biosynthesis|unclassified	0.0337807617
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis	0.3385465356
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis|unclassified	0.3385465356
CALVIN-PWY: Calvin-Benson-Bassham cycle	0.0294261000
CALVIN-PWY: Calvin-Benson-Bassham cycle|unclassified	0.0294261000
PWY-7663: gondoate biosynthesis (anaerobic)	0.0273301664
PWY-7663: gondoate biosynthesis (anaerobic)|unclassified	0.0273301664
THISYN-PWY: superpathway of thiamine diphosphate biosynthesis I	0.0000645109
THISYN-PWY: superpathway of thiamine diphosphate biosynthesis I|unclassified	0.0000645109
PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	0.1796730115
PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I|unclassified	0.1796730115
1CMET2-PWY: folate transformations III (E. coli)	0.0206557337
1CMET2-PWY: folate transformations III (E. coli)|unclassified	0.0206557337
PWY-841: superpathway of purine nucleotides de novo biosynthesis I	0.0018489209
PWY-841: superpathway of purine nucleotides de novo biosynthesis I|unclassified	0.0018489209
PWY-5989: stearate biosynthesis II (bacteria and plants)	0.0099526203
PWY-5989: stearate biosynthesis II (bacteria and plants)|unclassified	0.0099526203
PWY-6163: chorismate biosynthesis from 3-dehydroquinate	0.2402677903
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|unclassified	0.2402677903
FASYN-ELONG-PWY: fatty acid elongation -- saturated	0.0118331619
FASYN-ELONG-PWY: fatty acid elongation -- saturated|unclassified	0.0118331619
PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I	0.0722557605
PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I|unclassified	0.0722557605
PWY-7664: oleate biosynthesis IV (anaerobic)	0.0109461914
PWY-7664: oleate biosynthesis IV (anaerobic)|unclassified	0.0109461914
THRESYN-PWY: superpathway of L-threonine biosynthesis	0.0332528843
THRESYN-PWY: superpathway of L-threonine biosynthesis|unclassified	0.0332528843
PWY-7208: superpathway of pyrimidine nucleobases salvage	0.0727781367
PWY-7208: superpathway of pyrimidine nucleobases salvage|unclassified	0.0727781367
PWY0-862: (5Z)-dodecenoate biosynthesis I	0.0099516097
PWY0-862: (5Z)-dodecenoate biosynthesis I|unclassified	0.0099516097
PWY-6519: 8-amino-7-oxononanoate biosynthesis I	0.0112925256
PWY-6519: 8-amino-7-oxononanoate biosynthesis I|unclassified	0.0112925256
PWY-7185: UTP and CTP dephosphorylation I	0.0015966323
PWY-7185: UTP and CTP dephosphorylation I|unclassified	0.0015966323
PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II	0.0585639057
PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II|unclassified	0.0585639057
PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	0.0095755949
PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)|unclassified	0.0095755949
PWY-7456: &beta;-(1,4)-mannan degradation	0.0132677705
PWY-7456: &beta;-(1,4)-mannan degradation|unclassified	0.0132677705
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	0.0026946538
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I|unclassified	0.0026946538
PANTO-PWY: phosphopantothenate biosynthesis I	0.0711122453
PANTO-PWY: phosphopantothenate biosynthesis I|unclassified	0.0711122453
HISTSYN-PWY: L-histidine biosynthesis	0.0209423239
HISTSYN-PWY: L-histidine biosynthesis|unclassified	0.0209423239
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	0.0006240601
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|unclassified	0.0006240601
PWY-5941: glycogen degradation II	0.0002392806
PWY-5941: glycogen degradation II|unclassified	0.0002392806
PWY-7953: UDP-N-acetylmuramoyl-pentapeptide biosynthesis III (meso-diaminopimelate containing)	0.0004554751
PWY-7953: UDP-N-acetylmuramoyl-pentapeptide biosynthesis III (meso-diaminopimelate containing)|unclassified	0.0004554751
PWY-6897: thiamine diphosphate salvage II	0.0000239585
PWY-6897: thiamine diphosphate salvage II|unclassified	0.0000239585
PWY-6608: guanosine nucleotides degradation III	0.0002234473
PWY-6608: guanosine nucleotides degradation III|unclassified	0.0002234473
PWY-5030: L-histidine degradation III	0.0068436359
PWY-5030: L-histidine degradation III|unclassified	0.0068436359
PWY-5667: CDP-diacylglycerol biosynthesis I	0.0001434349
PWY-5667: CDP-diacylglycerol biosynthesis I|unclassified	0.0001434349
PWY0-1319: CDP-diacylglycerol biosynthesis II	0.0001434349
PWY0-1319: CDP-diacylglycerol biosynthesis II|unclassified	0.0001434349
PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)	0.0000000204
PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)|unclassified	0.0000000204
RHAMCAT-PWY: L-rhamnose degradation I	0.0277435059
RHAMCAT-PWY: L-rhamnose degradation I|unclassified	0.0277435059
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	0.0221816054
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|unclassified	0.0221816054
PWY-6901: superpathway of glucose and xylose degradation	0.0000015474
PWY-6901: superpathway of glucose and xylose degradation|unclassified	0.0000015474
PWY-6892: thiazole component of thiamine diphosphate biosynthesis I	0.0000335728
PWY-6892: thiazole component of thiamine diphosphate biosynthesis I|unclassified	0.0000335728
TRPSYN-PWY: L-tryptophan biosynthesis	0.0014516601
TRPSYN-PWY: L-tryptophan biosynthesis|unclassified	0.0014516601
PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II	0.0336811517
PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II|unclassified	0.0336811517
PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II	0.0336811517
PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II|unclassified	0.0336811517
PWY-8178: pentose phosphate pathway (non-oxidative branch) II	0.0018418106
PWY-8178: pentose phosphate pathway (non-oxidative branch) II|unclassified	0.0018418106
COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)	0.0000085411
COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)|unclassified	0.0000085411
NONMEVIPP-PWY: methylerythritol phosphate pathway I	0.0000025587
NONMEVIPP-PWY: methylerythritol phosphate pathway I|unclassified	0.0000025587
HISDEG-PWY: L-histidine degradation I	0.0046364181
HISDEG-PWY: L-histidine degradation I|unclassified	0.0046364181
ARO-PWY: chorismate biosynthesis I	0.0000053046
ARO-PWY: chorismate biosynthesis I|unclassified	0.0000053046
RIBOSYN2-PWY: flavin biosynthesis I (bacteria and plants)	0.0000000107
RIBOSYN2-PWY: flavin biosynthesis I (bacteria and plants)|unclassified	0.0000000107
PWY-5384: sucrose degradation IV (sucrose phosphorylase)	0.0001595507
PWY-5384: sucrose degradation IV (sucrose phosphorylase)|unclassified	0.0001595507
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I	0.0063146623
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|unclassified	0.0063146623
THISYNARA-PWY: superpathway of thiamine diphosphate biosynthesis III (eukaryotes)	0.0000212898
THISYNARA-PWY: superpathway of thiamine diphosphate biosynthesis III (eukaryotes)|unclassified	0.0000212898
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)	0.0001592601
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|unclassified	0.0001592601
PWY-7357: thiamine phosphate formation from pyrithiamine and oxythiamine (yeast)	0.0000159725
PWY-7357: thiamine phosphate formation from pyrithiamine and oxythiamine (yeast)|unclassified	0.0000159725
PWY-6629: superpathway of L-tryptophan biosynthesis	0.0000000000
PWY-6629: superpathway of L-tryptophan biosynthesis|unclassified	0.0000000000
PWY-2942: L-lysine biosynthesis III	0.0000000000
PWY-2942: L-lysine biosynthesis III|unclassified	0.0000000000
PENTOSE-P-PWY: pentose phosphate pathway	0.0002238660
PENTOSE-P-PWY: pentose phosphate pathway|unclassified	0.0002238660
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	0.0000000000
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis|unclassified	0.0000000000
ARGININE-SYN4-PWY: L-ornithine biosynthesis II	0.0000038186
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|unclassified	0.0000038186
PWY-7111: pyruvate fermentation to isobutanol (engineered)	0.0000000006
