# Gene Family	demo_Abundance-CPM
UNMAPPED	676636
UniRef90_A0A173Z1J3	1382.62
UniRef90_A0A173Z1J3|unclassified	1382.62
UniRef90_A0A0P0G117	996.385
UniRef90_A0A0P0G117|unclassified	996.385
UniRef90_A0A174UHY7	976.526
UniRef90_A0A174UHY7|unclassified	976.526
UniRef90_B0NQA3	745.991
UniRef90_B0NQA3|unclassified	745.991
UniRef90_A0A173YYP1	734.165
UniRef90_A0A173YYP1|unclassified	734.165
UniRef90_A0A174UG67	718.591
UniRef90_A0A174UG67|unclassified	718.591
UniRef90_E6UKY4	697.444
UniRef90_E6UKY4|unclassified	697.444
UniRef90_R6J9A9	590.758
UniRef90_R6J9A9|unclassified	590.758
UniRef90_A0A076IPF6	571.148
UniRef90_A0A076IPF6|unclassified	571.148
UniRef90_F9ZCR2	550.896
UniRef90_F9ZCR2|unclassified	550.896
UniRef90_A0A397WMH6	530.061
UniRef90_A0A397WMH6|unclassified	530.061
UniRef90_R5B132	509.877
UniRef90_R5B132|unclassified	509.877
UniRef90_A5ZJR5	500.712
UniRef90_A5ZJR5|unclassified	500.712
UniRef90_J9CT31	494.473
UniRef90_J9CT31|unclassified	494.473
UniRef90_A0A174MDH0	478.445
UniRef90_A0A174MDH0|unclassified	478.445
UniRef90_C3R0P4	458.474
UniRef90_C3R0P4|unclassified	458.474
UniRef90_B6W1I3	454.541
UniRef90_B6W1I3|unclassified	454.541
UniRef90_E6STV7	453.181
UniRef90_E6STV7|unclassified	453.181
UniRef90_Q8A3C0	446.771
UniRef90_Q8A3C0|unclassified	446.771
UniRef90_A0A096D5B2	446.717
UniRef90_A0A096D5B2|unclassified	446.717
UniRef90_A0A3D0FMN5	443.52
UniRef90_A0A3D0FMN5|unclassified	443.52
UniRef90_Q8A2N8	440.453
UniRef90_Q8A2N8|unclassified	440.453
UniRef90_A0A081DUL1	438.237
UniRef90_A0A081DUL1|unclassified	438.237
UniRef90_A0A0P0FB01	433.711
UniRef90_A0A0P0FB01|unclassified	433.711
UniRef90_R6J6S5	431.13
UniRef90_R6J6S5|unclassified	431.13
UniRef90_Q8A129	430.078
UniRef90_Q8A129|unclassified	430.078
UniRef90_A0A0N7IAY5	428.924
UniRef90_A0A0N7IAY5|unclassified	428.924
UniRef90_R5BAK4	424.865
UniRef90_R5BAK4|unclassified	424.865
UniRef90_A0A173XIA3	421.788
UniRef90_A0A173XIA3|unclassified	421.788
UniRef90_A0A139KPT2	417.637
UniRef90_A0A139KPT2|unclassified	417.637
UniRef90_A0A174B049	401.349
UniRef90_A0A174B049|unclassified	401.349
UniRef90_A7LR09	399.669
UniRef90_A7LR09|unclassified	399.669
UniRef90_A6KYN9	395.86
UniRef90_A6KYN9|unclassified	395.86
UniRef90_A0A174GG28	395.421
UniRef90_A0A174GG28|unclassified	395.421
UniRef90_R5BBY0	393.555
UniRef90_R5BBY0|unclassified	393.555
UniRef90_A0A3E4FZP2	392.04
UniRef90_A0A3E4FZP2|unclassified	392.04
UniRef90_R5AX07	390.972
UniRef90_R5AX07|unclassified	390.972
UniRef90_E4MC47	389.189
UniRef90_E4MC47|unclassified	389.189
UniRef90_Q8A1E9	388.558
UniRef90_Q8A1E9|unclassified	388.558
UniRef90_W6P057	384.268
UniRef90_W6P057|unclassified	384.268
UniRef90_R5BAJ9	383.136
UniRef90_R5BAJ9|unclassified	383.136
UniRef90_A0A1Y4VD92	382.286
UniRef90_A0A1Y4VD92|unclassified	382.286
UniRef90_A0A174QXJ7	380.05
UniRef90_A0A174QXJ7|unclassified	380.05
UniRef90_G8JZS4	377.14
UniRef90_G8JZS4|unclassified	377.14
UniRef90_Q8A1A2	376.605
UniRef90_Q8A1A2|unclassified	376.605
UniRef90_A0A1Y4PKI3	376.038
UniRef90_A0A1Y4PKI3|unclassified	376.038
UniRef90_R5APL7	373.886
UniRef90_R5APL7|unclassified	373.886
UniRef90_A0A174A211	372.559
UniRef90_A0A174A211|unclassified	372.559
UniRef90_Q8A2F4	370.206
UniRef90_Q8A2F4|unclassified	370.206
UniRef90_Q8A094	368.756
UniRef90_Q8A094|unclassified	368.756
UniRef90_A0A0P0FKQ9	368.487
UniRef90_A0A0P0FKQ9|unclassified	368.487
UniRef90_C3QRU9	367.416
UniRef90_C3QRU9|unclassified	367.416
UniRef90_A0A139LLI3	367.223
UniRef90_A0A139LLI3|unclassified	367.223
UniRef90_R6JLA0	366.602
UniRef90_R6JLA0|unclassified	366.602
UniRef90_A0A174LA24	364.555
UniRef90_A0A174LA24|unclassified	364.555
UniRef90_Q8A137	364.293
UniRef90_Q8A137|unclassified	364.293
UniRef90_I8YA29	364.193
UniRef90_I8YA29|unclassified	364.193
UniRef90_A0A174S3R2	364.016
UniRef90_A0A174S3R2|unclassified	364.016
UniRef90_R6JCQ1	363.649
UniRef90_R6JCQ1|unclassified	363.649
UniRef90_A7LXS8	362.328
UniRef90_A7LXS8|unclassified	362.328
UniRef90_A0A174EVF0	361.877
UniRef90_A0A174EVF0|unclassified	361.877
UniRef90_R5B2J6	360.868
